statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82503;Medizintechnik (oS) - Spezialist;7;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81222;Med.-tech. Berufe Funktionsdiagnostik - Fachkraft;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82283;Ernährungs-, Gesundheitsberat. (ssT) - Spezialist;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT050B60;50 bis unter 60 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82504;Medizintechnik (oS) - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT050B60;50 bis unter 60 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82222;Wellness - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81713;Physiotherapie - Spezialist;146;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82284;Ernährungs-, Gesundheitsberat. (ssT) - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT060UM;60 Jahre und mehr;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82504;Medizintechnik (oS) - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82594;Führung - Medizin-, Orthopädie- und Rehatechnik;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-83142;Haus- und Familienpflege - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82593;Aufsicht - Medizin-, Orthopädie- und Rehatechnik;5;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81113;Zahnmedizinische Fachangestellte - Spezialist;10;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82524;Augenoptik - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81212;Med.-tech. Berufe Laboratorium - Fachkraft;12;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82101;Altenpflege (oS) - Helfer;168;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT060UM;60 Jahre und mehr;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-73342;Medizinische Dokumentation - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82232;Ernährungsberatung - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT060UM;60 Jahre und mehr;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81102;Medizinische Fachangestellte (oS) - Fachkraft;12;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82504;Medizintechnik (oS) - Experte;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81183;Medizinische Fachangestellte (ssT) - Spezialist;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
